batch,condition_order,condition,source_condition,encoding,source_row,n,method,round,reps,wall,cpu,calls,transitions
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,9,4096,STATIC_ANTI,1,32,0.06740839965641499,0.0625,393216,12621130
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,10,512,STATIC_CRN,1,32,0.018875199370086193,0.015625,49152,1576825
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,11,512,BINARY,1,4,0.02338660042732954,0.03125,6144,197278
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,12,4096,STATIC_CRN,1,32,0.06635139975696802,0.0625,393216,12628956
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,13,4096,BINARY,1,4,0.13586769998073578,0.125,49152,1577583
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,14,512,MERGE,1,4,0.01653050072491169,0.015625,6144,197278
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,15,512,STATIC_ANTI,1,32,0.0181208997964859,0.015625,49152,1579469
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,16,4096,MERGE,2,4,0.0554725993424654,0.0625,49152,1577605
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,17,4096,BINARY,2,4,0.13454330060631037,0.125,49152,1577605
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,18,512,BINARY,2,4,0.026333299465477467,0.015625,6144,197230
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,19,512,STATIC_CRN,2,32,0.01710799988359213,0.0,49152,1578034
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,20,512,MERGE,2,4,0.01602920051664114,0.015625,6144,197230
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,21,4096,STATIC_CRN,2,32,0.06673890072852373,0.046875,393216,12605517
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,22,4096,STATIC_ANTI,2,32,0.0670089004561305,0.078125,393216,12606246
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,23,512,STATIC_ANTI,2,32,0.020031199790537357,0.015625,49152,1579315
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,24,4096,MERGE,3,4,0.05495689995586872,0.046875,49152,1577533
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,25,4096,BINARY,3,4,0.13477810006588697,0.125,49152,1577533
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,26,4096,STATIC_ANTI,3,32,0.06900649983435869,0.0625,393216,12618952
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,27,512,STATIC_ANTI,3,32,0.01805800013244152,0.015625,49152,1574501
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,28,512,BINARY,3,4,0.024522799998521805,0.03125,6144,197345
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,29,512,MERGE,3,4,0.01667799986898899,0.015625,6144,197345
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,30,4096,STATIC_CRN,3,32,0.06798529997467995,0.0625,393216,12619786
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,31,512,STATIC_CRN,3,32,0.017861099913716316,0.015625,49152,1578656
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,32,4096,MERGE,4,4,0.056891899555921555,0.015625,49152,1577612
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,33,4096,STATIC_ANTI,4,32,0.06646540015935898,0.0625,393216,12620462
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,34,512,STATIC_CRN,4,32,0.017142100259661674,0.03125,49152,1578670
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,35,512,MERGE,4,4,0.015964199788868427,0.015625,6144,197159
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,36,4096,STATIC_CRN,4,32,0.06639499962329865,0.0625,393216,12609862
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,37,512,BINARY,4,4,0.02324909996241331,0.015625,6144,197159
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,38,4096,BINARY,4,4,0.13602709956467152,0.125,49152,1577612
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,39,512,STATIC_ANTI,4,32,0.017555699683725834,0.015625,49152,1581650
ordering_2026-09-12,5,case_03_distant,law2_distant,distant,0,512,MERGE,0,4,0.016230199486017227,0.015625,6144,197182
ordering_2026-09-12,5,case_03_distant,law2_distant,distant,1,4096,STATIC_ANTI,0,32,0.0686207003891468,0.078125,393216,12626966
ordering_2026-09-12,5,case_03_distant,law2_distant,distant,2,512,BINARY,0,4,0.024464700371026993,0.03125,6144,197182
ordering_2026-09-12,5,case_03_distant,law2_distant,distant,3,4096,STATIC_CRN,0,32,0.06714249961078167,0.0625,393216,12615731
ordering_2026-09-12,5,case_03_distant,law2_distant,distant,4,512,STATIC_ANTI,0,32,0.017863700166344643,0.0,49152,1574497
